
Epoch[1/20](20/945) || training loss 0.2406 || training accuracy 82.50% || train_f1_score 0.67 || lr 0.001
Epoch[1/20](740/945) || training loss 0.1229 || training accuracy 88.75% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](760/945) || training loss 0.1696 || training accuracy 86.88% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](780/945) || training loss 0.1239 || training accuracy 90.31% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](800/945) || training loss 0.176 || training accuracy 83.44% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](820/945) || training loss 0.1307 || training accuracy 87.81% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](840/945) || training loss 0.1603 || training accuracy 85.31% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](860/945) || training loss 0.1357 || training accuracy 89.06% || train_f1_score 0.87 || lr 0.001
Epoch[1/20](880/945) || training loss 0.0997 || training accuracy 90.62% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](900/945) || training loss 0.177 || training accuracy 83.44% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](920/945) || training loss 0.1965 || training accuracy 82.50% || train_f1_score 0.86 || lr 0.001
Epoch[1/20](940/945) || training loss 0.1671 || training accuracy 84.69% || train_f1_score 0.86 || lr 0.001
Calculating validation results...
New best model for val accuracy : 86.96%! saving the best model..
[Val] acc : 86.96%, loss: 0.15 || best acc : 86.96%, best loss: 0.15 || f1 score : 0.87 || epoch time 0:04:55
early stopping patience 0
Epoch[2/20](20/945) || training loss 0.1504 || training accuracy 86.88% || train_f1_score 0.68 || lr 0.001
Epoch[2/20](40/945) || training loss 0.1618 || training accuracy 85.62% || train_f1_score 0.78 || lr 0.001
Epoch[2/20](60/945) || training loss 0.1387 || training accuracy 88.12% || train_f1_score 0.83 || lr 0.001
Epoch[2/20](80/945) || training loss 0.1653 || training accuracy 85.31% || train_f1_score 0.86 || lr 0.001
Epoch[2/20](100/945) || training loss 0.1795 || training accuracy 84.38% || train_f1_score 0.87 || lr 0.001
Epoch[2/20](120/945) || training loss 0.1209 || training accuracy 89.06% || train_f1_score 0.89 || lr 0.001
Epoch[2/20](140/945) || training loss 0.1173 || training accuracy 89.38% || train_f1_score  0.9 || lr 0.001
Epoch[2/20](160/945) || training loss 0.09453 || training accuracy 91.56% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](180/945) || training loss 0.1246 || training accuracy 89.06% || train_f1_score  0.9 || lr 0.001
Epoch[2/20](200/945) || training loss 0.1185 || training accuracy 88.75% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](220/945) || training loss 0.09046 || training accuracy 91.88% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](240/945) || training loss 0.09924 || training accuracy 91.25% || train_f1_score 0.89 || lr 0.001
Epoch[2/20](260/945) || training loss 0.09244 || training accuracy 91.56% || train_f1_score  0.9 || lr 0.001
Epoch[2/20](280/945) || training loss 0.1453 || training accuracy 85.94% || train_f1_score 0.89 || lr 0.001
Epoch[2/20](300/945) || training loss 0.09229 || training accuracy 91.88% || train_f1_score  0.9 || lr 0.001
Epoch[2/20](320/945) || training loss 0.1061 || training accuracy 91.25% || train_f1_score  0.9 || lr 0.001
Epoch[2/20](340/945) || training loss 0.08182 || training accuracy 92.81% || train_f1_score  0.9 || lr 0.001
Epoch[2/20](360/945) || training loss 0.0901 || training accuracy 91.88% || train_f1_score  0.9 || lr 0.001
Epoch[2/20](380/945) || training loss 0.05367 || training accuracy 95.31% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](400/945) || training loss 0.1112 || training accuracy 90.31% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](420/945) || training loss 0.08471 || training accuracy 92.19% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](440/945) || training loss 0.07013 || training accuracy 93.44% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](460/945) || training loss 0.08281 || training accuracy 92.19% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](480/945) || training loss 0.05923 || training accuracy 94.06% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](500/945) || training loss 0.08519 || training accuracy 92.81% || train_f1_score 0.92 || lr 0.001
Epoch[2/20](520/945) || training loss 0.09794 || training accuracy 91.88% || train_f1_score 0.92 || lr 0.001
Epoch[2/20](540/945) || training loss 0.05523 || training accuracy 95.31% || train_f1_score 0.92 || lr 0.001
Epoch[2/20](560/945) || training loss 0.0571 || training accuracy 95.00% || train_f1_score 0.92 || lr 0.001
Epoch[2/20](580/945) || training loss 0.1083 || training accuracy 90.00% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](600/945) || training loss 0.1226 || training accuracy 88.75% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](620/945) || training loss 0.08648 || training accuracy 92.50% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](640/945) || training loss 0.07016 || training accuracy 94.06% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](660/945) || training loss 0.09381 || training accuracy 91.56% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](680/945) || training loss 0.09879 || training accuracy 91.56% || train_f1_score  0.9 || lr 0.001
Epoch[2/20](700/945) || training loss 0.09275 || training accuracy 91.88% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](720/945) || training loss 0.133 || training accuracy 88.44% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](740/945) || training loss 0.1558 || training accuracy 85.94% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](760/945) || training loss 0.1412 || training accuracy 87.19% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](780/945) || training loss 0.116 || training accuracy 90.00% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](800/945) || training loss 0.1089 || training accuracy 90.31% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](820/945) || training loss 0.1144 || training accuracy 89.69% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](840/945) || training loss 0.1055 || training accuracy 90.94% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](860/945) || training loss 0.09709 || training accuracy 91.56% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](880/945) || training loss 0.0892 || training accuracy 91.88% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](900/945) || training loss 0.1027 || training accuracy 90.31% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](920/945) || training loss 0.1413 || training accuracy 87.50% || train_f1_score 0.91 || lr 0.001
Epoch[2/20](940/945) || training loss 0.1486 || training accuracy 85.94% || train_f1_score 0.91 || lr 0.001
Calculating validation results...
[Val] acc : 72.30%, loss: 0.38 || best acc : 86.96%, best loss: 0.15 || f1 score : 0.68 || epoch time 0:04:53
early stopping patience 2
Epoch[3/20](20/945) || training loss 0.08294 || training accuracy 92.50% || train_f1_score  1.0 || lr 0.001
Epoch[3/20](40/945) || training loss 0.1227 || training accuracy 88.44% || train_f1_score 0.85 || lr 0.001
Epoch[3/20](60/945) || training loss 0.07789 || training accuracy 92.50% || train_f1_score 0.88 || lr 0.001
Epoch[3/20](80/945) || training loss 0.06767 || training accuracy 93.75% || train_f1_score 0.91 || lr 0.001
Epoch[3/20](100/945) || training loss 0.06797 || training accuracy 94.06% || train_f1_score 0.91 || lr 0.001
Epoch[3/20](120/945) || training loss 0.07253 || training accuracy 93.75% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](140/945) || training loss 0.08524 || training accuracy 92.19% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](160/945) || training loss 0.06955 || training accuracy 93.44% || train_f1_score 0.94 || lr 0.001
Epoch[3/20](180/945) || training loss 0.09997 || training accuracy 90.94% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](200/945) || training loss 0.08106 || training accuracy 93.12% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](220/945) || training loss 0.08187 || training accuracy 92.81% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](240/945) || training loss 0.09104 || training accuracy 91.88% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](260/945) || training loss 0.0691 || training accuracy 94.06% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](280/945) || training loss 0.02816 || training accuracy 97.50% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](300/945) || training loss 0.07851 || training accuracy 92.81% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](320/945) || training loss 0.08254 || training accuracy 92.81% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](340/945) || training loss 0.06722 || training accuracy 94.38% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](360/945) || training loss 0.1012 || training accuracy 90.94% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](380/945) || training loss 0.05951 || training accuracy 94.69% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](400/945) || training loss 0.08525 || training accuracy 92.19% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](420/945) || training loss 0.1251 || training accuracy 89.69% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](440/945) || training loss 0.08272 || training accuracy 92.19% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](460/945) || training loss 0.1064 || training accuracy 90.62% || train_f1_score 0.91 || lr 0.001
Epoch[3/20](480/945) || training loss 0.06798 || training accuracy 94.06% || train_f1_score 0.91 || lr 0.001
Epoch[3/20](500/945) || training loss 0.07834 || training accuracy 92.50% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](520/945) || training loss 0.08279 || training accuracy 92.50% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](540/945) || training loss 0.06222 || training accuracy 94.38% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](560/945) || training loss 0.04709 || training accuracy 95.62% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](580/945) || training loss 0.08085 || training accuracy 92.81% || train_f1_score 0.92 || lr 0.001
Epoch[3/20](600/945) || training loss 0.06056 || training accuracy 94.38% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](620/945) || training loss 0.06873 || training accuracy 93.75% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](640/945) || training loss 0.04208 || training accuracy 96.56% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](660/945) || training loss 0.08711 || training accuracy 92.19% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](680/945) || training loss 0.03721 || training accuracy 96.88% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](700/945) || training loss 0.06298 || training accuracy 94.06% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](720/945) || training loss 0.05551 || training accuracy 95.31% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](740/945) || training loss 0.07874 || training accuracy 93.44% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](760/945) || training loss 0.03659 || training accuracy 96.88% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](780/945) || training loss 0.08087 || training accuracy 92.50% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](800/945) || training loss 0.06806 || training accuracy 93.75% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](820/945) || training loss 0.08282 || training accuracy 92.81% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](840/945) || training loss 0.0504 || training accuracy 95.94% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](860/945) || training loss 0.0863 || training accuracy 92.50% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](880/945) || training loss 0.0511 || training accuracy 95.31% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](900/945) || training loss 0.06055 || training accuracy 94.69% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](920/945) || training loss 0.09318 || training accuracy 91.56% || train_f1_score 0.93 || lr 0.001
Epoch[3/20](940/945) || training loss 0.09312 || training accuracy 91.56% || train_f1_score 0.93 || lr 0.001
Calculating validation results...
Early stopping
Total time : 0:14:45
[[1092  399]
 [  90 2195]]
